order_id,sku,category,buyer_payment,platform_shipping,settlement_price,cost_price,store_score,return_rate
ORD20260512001,SKU_BL001,家居百货,68.50,8.00,32.00,25.00,4.7,0.12
ORD20260512002,SKU_3C001,3C数码,159.00,12.00,85.00,72.00,4.9,0.08
ORD20260512003,SKU_CZ001,服装鞋包,89.90,6.00,42.00,35.00,4.6,0.15
ORD20260512004,SKU_MZ001,美妆个护,45.80,5.00,22.00,18.00,4.8,0.10
ORD20260512005,SKU_WJ001,玩具母婴,125.00,10.00,58.00,48.00,4.5,0.18
ORD20260512006,SKU_SP001,食品饮料,35.90,7.00,18.00,14.00,4.9,0.06
ORD20260512007,SKU_BL002,家居百货,52.00,6.00,28.00,22.00,4.3,0.20
ORD20260512008,SKU_3C002,3C数码,299.00,15.00,155.00,138.00,4.8,0.09
ORD20260512009,SKU_CZ002,服装鞋包,78.00,5.00,38.00,30.00,4.4,0.22
ORD20260512010,SKU_MZ002,美妆个护,98.00,7.00,48.00,40.00,4.7,0.11
