订单号,SKU,商品名称,买家支付金额,平台运费,结算价,类目,发货时间,确认收货时间,退货状态,成本价,店铺评分
ORD20260512001,SKU_BL001,北欧风简约收纳盒套装三件套,68.50,8.00,32.00,家居百货,2026-05-01 10:30:00,2026-05-08 14:20:00,否,25.00,4.80
ORD20260512002,SKU_3C001,无线蓝牙耳机Pro版降噪长续航,159.00,12.00,85.00,3C数码,2026-05-02 09:15:00,2026-05-09 16:45:00,否,72.00,4.90
ORD20260512003,SKU_CZ001,夏季轻薄透气运动T恤男速干衣,89.90,6.00,42.00,服装鞋包,2026-05-02 11:40:00,2026-05-09 10:30:00,是,35.00,4.60
ORD20260512004,SKU_MZ001,玻尿酸保湿精华液30ml补水保湿,45.80,5.00,22.00,美妆个护,2026-05-03 08:20:00,2026-05-10 13:15:00,否,18.00,4.80
ORD20260512005,SKU_WJ001,儿童益智积木玩具100片装早教,125.00,10.00,58.00,玩具母婴,2026-05-03 14:50:00,2026-05-10 17:30:00,否,48.00,4.50
ORD20260512006,SKU_BL002,多功能厨房置物架双层调料架,52.00,6.00,28.00,家居百货,2026-05-04 09:00:00,2026-05-11 11:20:00,否,22.00,4.30
ORD20260512007,SKU_3C002,智能手表运动版心率监测防水,299.00,15.00,155.00,3C数码,2026-05-04 16:30:00,2026-05-11 15:40:00,否,138.00,4.90
ORD20260512008,SKU_CZ002,韩版宽松休闲卫衣女春秋薄款,78.00,5.00,38.00,服装鞋包,2026-05-05 10:10:00,2026-05-12 09:25:00,是,30.00,4.40
ORD20260512009,SKU_SP001,有机坚果礼盒500g混合坚果干果,98.00,7.00,48.00,食品饮料,2026-05-05 13:45:00,2026-05-12 16:50:00,否,40.00,4.80
ORD20260512010,SKU_WJ002,婴儿早教布书套装0-3岁益智,168.00,12.00,92.00,玩具母婴,2026-05-06 08:30:00,2026-05-13 12:10:00,否,75.00,4.70
ORD20260512011,SKU_BL003,ins风桌面收纳架化妆品置物架,35.90,5.00,18.00,家居百货,2026-05-06 11:20:00,2026-05-13 14:35:00,否,14.00,4.60
ORD20260512012,SKU_3C003,Type-C快充数据线3条装1.5米,29.90,3.00,15.00,3C数码,2026-05-07 09:45:00,2026-05-14 10:55:00,否,12.00,4.90
ORD20260512013,SKU_MZ002,烟酰胺美白面膜10片补水提亮,88.00,5.00,42.00,美妆个护,2026-05-07 15:10:00,2026-05-14 16:40:00,否,35.00,4.70
ORD20260512014,SKU_CZ003,复古高腰牛仔裤女直筒宽松版,129.00,6.00,62.00,服装鞋包,2026-05-08 10:00:00,2026-05-15 11:30:00,否,52.00,4.30
ORD20260512015,SKU_WJ003,乐高式拼装汽车模型儿童玩具,189.00,10.00,98.00,玩具母婴,2026-05-08 14:25:00,2026-05-15 15:50:00,否,82.00,4.60
ORD20260512016,SKU_BL004,不锈钢厨房锅铲套装五件套,46.80,5.00,24.00,家居百货,2026-05-09 08:50:00,2026-05-16 13:20:00,否,19.00,4.50
ORD20260512017,SKU_3C004,便携式蓝牙音箱迷你小音响户外,79.00,6.00,42.00,3C数码,2026-05-09 11:30:00,2026-05-16 14:45:00,否,34.00,4.80
ORD20260512018,SKU_CZ004,冰丝防晒衣女夏季防紫外线外套,65.90,5.00,32.00,服装鞋包,2026-05-10 09:15:00,2026-05-17 10:30:00,否,26.00,4.50
ORD20260512019,SKU_MZ003,氨基酸洗面奶温和清洁控油两支装,56.00,4.00,28.00,美妆个护,2026-05-10 13:40:00,2026-05-17 15:55:00,否,22.00,4.70
ORD20260512020,SKU_SP002,进口零食大礼包混合装500g,78.90,6.00,38.00,食品饮料,2026-05-11 08:20:00,2026-05-18 12:10:00,否,32.00,4.80
